time,r1,r2,r3,id,organism,name,control,treatment
7,275734.8457,118327.8479,292954.1222,barakgavish2018,H,ehux379,FALSE,100DMSP
8,5897.689424,4259.867035,5516.982824,barakgavish2018,H,ehux379,FALSE,100DMSP
9,950.902049,684.2006079,1064.866981,barakgavish2018,H,ehux379,FALSE,100DMSP
10,837.3721825,571.44814,1562.35728,barakgavish2018,H,ehux379,FALSE,100DMSP
11,380.334187,190.169049,798.9854709,barakgavish2018,H,ehux379,FALSE,100DMSP
0,493434.8845,484042.0133,415774.9818,barakgavish2018,H,ehux379,FALSE,500DMSP
1,773517.2664,836879.2645,827624.3575,barakgavish2018,H,ehux379,FALSE,500DMSP
2,1108036.968,1147669.921,1092322.647,barakgavish2018,H,ehux379,FALSE,500DMSP
3,2258550.952,2370829.668,2491682.512,barakgavish2018,H,ehux379,FALSE,500DMSP
4,2536565.917,2790384.821,2351880.917,barakgavish2018,H,ehux379,FALSE,500DMSP
5,17871.60528,122087.4447,10491.39459,barakgavish2018,H,ehux379,FALSE,500DMSP
6,950.124345,3499.468059,266.0653259,barakgavish2018,H,ehux379,FALSE,500DMSP
7,227.9654636,1138.954487,37.96218966,barakgavish2018,H,ehux379,FALSE,500DMSP
8,0,266.6666677,38.03727653,barakgavish2018,H,ehux379,FALSE,500DMSP
9,342.5323746,38.07009974,0,barakgavish2018,H,ehux379,FALSE,500DMSP
10,152.4467707,76.11701723,0,barakgavish2018,H,ehux379,FALSE,500DMSP
11,152.277541,0,0,barakgavish2018,H,ehux379,FALSE,500DMSP
0,0,0,0,barakgavish2018,B,bacteria,TRUE,0DMSP
1,85260.07283,74430.6938,24990.33112,barakgavish2018,B,bacteria,TRUE,0DMSP
2,49072.58653,38766.51982,48953.90174,barakgavish2018,B,bacteria,TRUE,0DMSP
3,62710.48659,45133.66509,63154.20151,barakgavish2018,B,bacteria,TRUE,0DMSP
4,118380.9662,83570.30933,70472.1635,barakgavish2018,B,bacteria,TRUE,0DMSP
5,269136.6655,126186.6511,132697.0085,barakgavish2018,B,bacteria,TRUE,0DMSP
6,813795.1022,765505.8428,542043.0855,barakgavish2018,B,bacteria,TRUE,0DMSP
7,1667053.364,1297090.53,949527.2727,barakgavish2018,B,bacteria,TRUE,0DMSP
8,901385.3978,975069.8975,998203.0027,barakgavish2018,B,bacteria,TRUE,0DMSP
9,1429316.641,1307873.398,1043175.891,barakgavish2018,B,bacteria,TRUE,0DMSP
10,661615.1193,614358.4343,639804.2129,barakgavish2018,B,bacteria,TRUE,0DMSP
11,1181547.016,1172627.035,1050952.643,barakgavish2018,B,bacteria,TRUE,0DMSP
0,0,0,0,barakgavish2018,B,bacteria,TRUE,10DMSP
1,168949.6378,179130.6893,111927.2473,barakgavish2018,B,bacteria,TRUE,10DMSP
2,41788.79248,48810.25015,38716.4897,barakgavish2018,B,bacteria,TRUE,10DMSP
3,34853.32559,41973.94118,24461.982,barakgavish2018,B,bacteria,TRUE,10DMSP
4,59485.62431,34751.38282,45383.13842,barakgavish2018,B,bacteria,TRUE,10DMSP
5,80323.62271,90508.23857,77242.67072,barakgavish2018,B,bacteria,TRUE,10DMSP
6,507866.0868,385852.09,342109.0909,barakgavish2018,B,bacteria,TRUE,10DMSP
7,720354.9575,593074.9775,475815.6214,barakgavish2018,B,bacteria,TRUE,10DMSP
8,608572.1738,776710.301,666724.8451,barakgavish2018,B,bacteria,TRUE,10DMSP
9,977391.3043,605937.4909,261476.3994,barakgavish2018,B,bacteria,TRUE,10DMSP
10,775719.6278,671596.3462,508696.0309,barakgavish2018,B,bacteria,TRUE,10DMSP
11,1490510.186,1487876.242,1042222.939,barakgavish2018,B,bacteria,TRUE,10DMSP
0,0,0,0,barakgavish2018,B,bacteria,TRUE,100DMSP
1,31565.10302,14027.70472,24624.04362,barakgavish2018,B,bacteria,TRUE,100DMSP
2,45462.49344,48992.447,55826.9365,barakgavish2018,B,bacteria,TRUE,100DMSP
3,56046.93931,24461.982,27872.13657,barakgavish2018,B,bacteria,TRUE,100DMSP
4,24415.76561,55531.45336,56437.38977,barakgavish2018,B,bacteria,TRUE,100DMSP
